Kingdom,Group,SubGroup,Size (Mb)
Viruses,ssRNA viruses,Bunyaviridae,0.016732
Viroids,Pospiviroidae,Pospiviroid,0.000356
Viruses,ssRNA viruses,Betaflexiviridae,0.008855
Bacteria,Tenericutes,Mollicutes,0.659699
Eukaryota,Animals,Reptiles,2365.77
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,5.53291
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,5.20277
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.12366
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,4.11841
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,4.21456
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,4.36466
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,4.63363
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,5.57064
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,4.43938
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,2.85356
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,4.36916
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,5.8308
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.26128
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.1542
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,4.71855
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,4.45705
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,2.98233
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,4.34059
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,4.75448
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,2.34524
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,4.12633
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,5.48784
Bacteria,Chrysiogenetes,Chrysiogenetes,2.82516
Eukaryota,Animals,Mammals,4210.11
Eukaryota,Protists,Other Protists,59.0731
Viruses,dsDNA viruses, no RNA stage,Phycodnaviridae,-
Viruses,dsDNA viruses, no RNA stage,Baculoviridae,0.149622
Eukaryota,Fungi,Ascomycetes,44.6689
Eukaryota,Fungi,Ascomycetes,42.6246
Bacteria,Chlamydiae/Verrucomicrobia group,Verrucomicrobia,7.8487
Bacteria,Armatimonadetes,Chthonomonadetes,3.43786
Viruses,dsRNA viruses,Reoviridae,0.023015
Eukaryota,Fungi,Ascomycetes,40.7322
Eukaryota,Plants,Land Plants,530.894
Eukaryota,Animals,Insects,650.478
Viruses,dsRNA viruses,Reoviridae,0.024835
Eukaryota,Animals,Other Animals,116.733
Eukaryota,Animals,Other Animals,587.353
Viruses,ssDNA viruses,unclassified,0.002526
Viruses,ssDNA viruses,Circoviridae,0.004023
Viruses,ssDNA viruses,Circoviridae,0.003333
Viruses,ssDNA viruses,Circoviridae,0.002917
Viruses,ssDNA viruses,Circoviridae,0.002658
Viruses,ssDNA viruses,Circoviridae,0.003161
Viruses,ssDNA viruses,Circoviridae,0.002676
Viruses,ssDNA viruses,Circoviridae,0.002262
Viruses,ssDNA viruses,Circoviridae,0.003393
Viruses,ssDNA viruses,Circoviridae,0.001064
Viruses,ssDNA viruses,Circoviridae,0.003584
Viruses,ssDNA viruses,Circoviridae,0.002296
Viruses,ssDNA viruses,Circoviridae,0.002389
Viruses,ssDNA viruses,Circoviridae,0.003393
Viruses,ssDNA viruses,Circoviridae,0.002711
Viruses,ssDNA viruses,Circoviridae,0.004715
Viruses,ssDNA viruses,Circoviridae,0.003999
Viruses,ssDNA viruses,Circoviridae,0.003175
Viruses,ssDNA viruses,Circoviridae,0.002603
Viruses,ssDNA viruses,Circoviridae,0.002834
Viruses,ssDNA viruses,Circoviridae,0.000859
Viruses,ssDNA viruses,unclassified,0.001815
Viruses,ssDNA viruses,unclassified,0.00216
Viruses,ssDNA viruses,unclassified,0.002757
Viruses,ssDNA viruses,unclassified,0.002162
Viruses,ssDNA viruses,unclassified,0.002819
Viruses,ssDNA viruses,unclassified,0.001803
Viruses,ssDNA viruses,unclassified,0.002072
Viruses,ssDNA viruses,unclassified,0.002782
Viruses,ssDNA viruses,unclassified,0.001739
Viruses,ssDNA viruses,unclassified,0.001833
Viruses,dsRNA viruses,unclassified,0.008086
Bacteria,Proteobacteria,Alphaproteobacteria,5.52323
Bacteria,Actinobacteria,Actinobacteria,3.46693
Bacteria,Proteobacteria,Gammaproteobacteria,5.62331
Bacteria,Proteobacteria,Gammaproteobacteria,5.87535
Bacteria,Proteobacteria,Gammaproteobacteria,5.24283
Bacteria,Proteobacteria,Gammaproteobacteria,4.9295
Bacteria,Proteobacteria,Gammaproteobacteria,5.91169
Bacteria,Proteobacteria,Gammaproteobacteria,5.47745
Viruses,dsDNA viruses, no RNA stage,Podoviridae,0.039207
Viruses,dsDNA viruses, no RNA stage,Podoviridae,0.039651
Viruses,unclassified phages,unclassified,0.047771
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.178171
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.170341
Viruses,dsDNA viruses, no RNA stage,Siphoviridae,0.049816
Bacteria,Proteobacteria,Gammaproteobacteria,5.44428
Bacteria,Proteobacteria,Gammaproteobacteria,4.63147
Bacteria,Proteobacteria,Gammaproteobacteria,4.948
Bacteria,Proteobacteria,Gammaproteobacteria,5.15416
Bacteria,Proteobacteria,Alphaproteobacteria,3.28171
Bacteria,Proteobacteria,Alphaproteobacteria,3.27333
Eukaryota,Plants,Land Plants,321.047
Viroids,Pospiviroidae,Cocadviroid,0.000284
Viroids,Pospiviroidae,Apscaviroid,0.000315
Viruses,ssDNA viruses,Geminiviridae,0.00364
Eukaryota,Plants,Land Plants,301.365
Viroids,Pospiviroidae,Apscaviroid,0.000292
Viruses,Retro-transcribing viruses,Retroviridae,0.006996
Viroids,Pospiviroidae,Pospiviroid,0.000371
Viruses,ssRNA viruses,Betaflexiviridae,0.008747
Viruses,ssRNA viruses,Bromoviridae,0.008683
Viruses,ssRNA viruses,unclassified,0.013731
Viruses,ssRNA viruses,Ophioviridae,0.011278
Eukaryota,Plants,Land Plants,327.83
Viruses,ssRNA viruses,Tymoviridae,0.00682
Viruses,ssRNA viruses,Closteroviridae,0.019296
Viruses,ssRNA viruses,Bromoviridae,0.008656
Viruses,ssRNA viruses,Luteoviridae,0.005983
Viroids,Pospiviroidae,Apscaviroid,0.000326
Viroids,Pospiviroidae,Apscaviroid,0.000294
Viroids,Pospiviroidae,Apscaviroid,0.00033
Viroids,Pospiviroidae,Apscaviroid,0.000327
Viruses,Retro-transcribing viruses,Caulimoviridae,0.007559
Viruses,ssRNA viruses,Alphaflexiviridae,0.007531
Eukaryota,Fungi,Ascomycetes,37.1171
Eukaryota,Fungi,Ascomycetes,36.6821
Eukaryota,Fungi,Ascomycetes,36.7226
Eukaryota,Fungi,Ascomycetes,28.9911
Eukaryota,Fungi,Ascomycetes,43.0292
Eukaryota,Fungi,Ascomycetes,39.4201
Eukaryota,Fungi,Ascomycetes,27.8984
Viruses,unclassified viruses,unclassified,0.008886
Eukaryota,Fungi,Ascomycetes,26.8942
Viruses,dsDNA viruses, no RNA stage,Baculoviridae,0.135454
Viruses,ssRNA viruses,Flaviviridae,0.012301
Eukaryota,Fungi,Basidiomycetes,70.4695
Bacteria,Actinobacteria,Actinobacteria,3.42075
Viruses,dsDNA viruses, no RNA stage,Siphoviridae,0.058652
Viruses,dsDNA viruses, no RNA stage,Siphoviridae,0.056789
Eukaryota,Fungi,Ascomycetes,52.5856
Eukaryota,Fungi,Ascomycetes,28.9743
Eukaryota,Fungi,Ascomycetes,32.0914
Eukaryota,Fungi,Ascomycetes,12.1149
Viruses,ssDNA viruses,Geminiviridae,0.002566
Viruses,ssDNA viruses,Geminiviridae,0.005386
Viruses,Satellites,unclassified,0.001351
Viruses,ssDNA viruses,Geminiviridae,0.005524
Viruses,ssDNA viruses,Geminiviridae,0.00276
Viruses,ssDNA viruses,Geminiviridae,0.005515
Viruses,ssRNA viruses,Narnaviridae,0.003765
Viruses,ssRNA viruses,Virgaviridae,0.006514
Bacteria,Synergistetes,Synergistia,3.48846
Bacteria,unclassified Bacteria,Cloacimonetes,1.10916
Bacteria,unclassified Bacteria,Cloacimonetes,0.63106
Bacteria,unclassified Bacteria,Cloacimonetes,0.868254
Bacteria,unclassified Bacteria,Cloacimonetes,0.671361
Bacteria,unclassified Bacteria,Cloacimonetes,0.633964
Bacteria,unclassified Bacteria,Cloacimonetes,1.88508
Bacteria,unclassified Bacteria,Cloacimonetes,0.173565
Bacteria,unclassified Bacteria,Cloacimonetes,0.104827
Bacteria,unclassified Bacteria,Cloacimonetes,0.327619
Bacteria,unclassified Bacteria,Cloacimonetes,0.145842
Bacteria,unclassified Bacteria,Cloacimonetes,0.516961
Bacteria,unclassified Bacteria,Cloacimonetes,0.289645
Bacteria,unclassified Bacteria,Cloacimonetes,0.360882
Bacteria,unclassified Bacteria,Cloacimonetes,0.71261
Bacteria,unclassified Bacteria,Cloacimonetes,0.50668
Bacteria,unclassified Bacteria,Cloacimonetes,0.385079
Bacteria,unclassified Bacteria,Cloacimonetes,3.07016
Bacteria,unclassified Bacteria,Cloacimonetes,1.84289
Bacteria,unclassified Bacteria,Cloacimonetes,1.78937
Bacteria,unclassified Bacteria,Cloacimonetes,0.611376
Bacteria,unclassified Bacteria,Cloacimonetes,1.09558
Bacteria,unclassified Bacteria,Cloacimonetes,0.839959
Bacteria,unclassified Bacteria,Cloacimonetes,1.89377
Bacteria,unclassified Bacteria,Cloacimonetes,3.1711
Bacteria,unclassified Bacteria,Cloacimonetes,1.62856
Bacteria,unclassified Bacteria,Cloacimonetes,0.789155
Bacteria,unclassified Bacteria,Cloacimonetes,0.499464
Bacteria,unclassified Bacteria,Cloacimonetes,1.83778
Bacteria,unclassified Bacteria,Cloacimonetes,1.93767
Bacteria,unclassified Bacteria,Cloacimonetes,1.96521
Bacteria,unclassified Bacteria,Cloacimonetes,1.18443
Bacteria,unclassified Bacteria,Cloacimonetes,0.753308
Bacteria,unclassified Bacteria,Cloacimonetes,0.919075
Bacteria,unclassified Bacteria,Cloacimonetes,1.6978
Bacteria,unclassified Bacteria,Cloacimonetes,0.90405
Bacteria,unclassified Bacteria,Cloacimonetes,1.15099
Bacteria,unclassified Bacteria,Cloacimonetes,2.05587
Bacteria,unclassified Bacteria,Cloacimonetes,2.41016
Bacteria,unclassified Bacteria,Cloacimonetes,0.897531
Bacteria,unclassified Bacteria,Cloacimonetes,1.94783
Bacteria,unclassified Bacteria,Cloacimonetes,0.890714
Bacteria,unclassified Bacteria,Cloacimonetes,2.14526
Bacteria,unclassified Bacteria,Cloacimonetes,0.813448
Bacteria,unclassified Bacteria,Cloacimonetes,1.07179
Bacteria,unclassified Bacteria,Cloacimonetes,1.36303
Bacteria,unclassified Bacteria,Cloacimonetes,0.319853
Eukaryota,Animals,Insects,256.249
Eukaryota,Animals,Flatworms,547.288
Eukaryota,Fungi,Ascomycetes,55.4164
Viruses,dsDNA viruses, no RNA stage,Baculoviridae,0.101487
Viruses,dsDNA viruses, no RNA stage,Baculoviridae,0.101818
Bacteria,Firmicutes,Clostridia,5.15599
Bacteria,Firmicutes,Clostridia,3.29415
Bacteria,Firmicutes,Clostridia,3.11398
Bacteria,Firmicutes,Clostridia,2.72752
Bacteria,Firmicutes,Clostridia,4.97973
Bacteria,Firmicutes,Clostridia,6.41181
Bacteria,Firmicutes,Clostridia,2.99779
Bacteria,Firmicutes,Clostridia,3.65439
Bacteria,Firmicutes,Clostridia,6.28432
Bacteria,Firmicutes,Clostridia,7.21556
Bacteria,Firmicutes,Clostridia,3.51426
Bacteria,Firmicutes,Clostridia,3.68953
Bacteria,Firmicutes,Clostridia,3.45614
Bacteria,Firmicutes,Clostridia,2.26535
Bacteria,Firmicutes,Clostridia,4.5821
Bacteria,Firmicutes,Clostridia,3.53065
Bacteria,Firmicutes,Clostridia,3.57871
Bacteria,Firmicutes,Clostridia,4.51287
Bacteria,Firmicutes,Clostridia,2.85059
Bacteria,Firmicutes,Clostridia,7.75822
Bacteria,Firmicutes,Clostridia,3.49728
Bacteria,Firmicutes,Clostridia,6.54897
Bacteria,Firmicutes,Clostridia,3.64967
Bacteria,Firmicutes,Clostridia,3.04098
Bacteria,Firmicutes,Clostridia,4.98186
Bacteria,Firmicutes,Clostridia,1.53143
Bacteria,Firmicutes,Clostridia,1.76222
Bacteria,Firmicutes,Clostridia,1.92033
Bacteria,Firmicutes,Clostridia,3.13652
Bacteria,Firmicutes,Clostridia,4.56918
Bacteria,Firmicutes,Clostridia,5.98805
Bacteria,Firmicutes,Clostridia,6.03055
Bacteria,Firmicutes,Clostridia,3.3576
Bacteria,Firmicutes,Clostridia,3.44652
Bacteria,Firmicutes,Clostridia,3.47555
Bacteria,Firmicutes,Clostridia,3.16258
Bacteria,Firmicutes,Clostridia,6.16803
Bacteria,Firmicutes,Clostridia,5.19656
Bacteria,Firmicutes,Clostridia,3.55156
Bacteria,Firmicutes,Clostridia,5.30694
Bacteria,Firmicutes,Clostridia,3.91523
Bacteria,Firmicutes,Clostridia,7.0728
Bacteria,Firmicutes,Clostridia,6.86008
Bacteria,Firmicutes,Clostridia,7.41606
Bacteria,Firmicutes,Clostridia,3.56882
Bacteria,Firmicutes,Clostridia,4.76753
Bacteria,Firmicutes,Clostridia,3.25063
Bacteria,Firmicutes,Clostridia,6.64441
Bacteria,Firmicutes,Clostridia,4.20704
Bacteria,Firmicutes,Clostridia,4.14558
Bacteria,Firmicutes,Clostridia,4.58951
Bacteria,Firmicutes,Clostridia,3.06029
Bacteria,Firmicutes,Clostridia,3.97028
Bacteria,Firmicutes,Clostridia,4.74256
Bacteria,Firmicutes,Clostridia,4.3522
Bacteria,Firmicutes,Clostridia,3.33863
Bacteria,Firmicutes,Clostridia,2.96127
Bacteria,Firmicutes,Clostridia,6.96016
Bacteria,Firmicutes,Clostridia,5.41456
Bacteria,Firmicutes,Clostridia,3.61702
Bacteria,Firmicutes,Clostridia,4.40835
Bacteria,Firmicutes,Clostridia,4.92264
Bacteria,Firmicutes,Clostridia,3.54216
Bacteria,Firmicutes,Clostridia,5.75278
Bacteria,Firmicutes,Clostridia,3.55372
Bacteria,Firmicutes,Clostridia,5.26222
Bacteria,Firmicutes,Clostridia,4.49388
Bacteria,Firmicutes,Clostridia,3.94365
Bacteria,Firmicutes,Clostridia,3.50562
Bacteria,Firmicutes,Clostridia,2.73503
Bacteria,Firmicutes,Clostridia,3.73576
Bacteria,Firmicutes,Clostridia,5.85389
Bacteria,Firmicutes,Clostridia,5.57877
Bacteria,Firmicutes,Clostridia,2.60766
Bacteria,Firmicutes,Clostridia,5.58708
Bacteria,Firmicutes,Clostridia,3.65054
Bacteria,Firmicutes,Clostridia,4.10151
Bacteria,Firmicutes,Clostridia,4.68305
Bacteria,Firmicutes,Clostridia,4.0238
Bacteria,Firmicutes,Clostridia,2.81896
Bacteria,Firmicutes,Clostridia,4.63007
Bacteria,Firmicutes,Clostridia,4.7536
Bacteria,Firmicutes,Clostridia,2.52733
Bacteria,Firmicutes,Clostridia,2.79806
Bacteria,Firmicutes,Clostridia,3.56129
Bacteria,Firmicutes,Clostridia,6.18688
Bacteria,Firmicutes,Clostridia,4.1271
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.054279
Viruses,dsDNA viruses, no RNA stage,Siphoviridae,0.033609
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.185683
Viruses,dsDNA viruses, no RNA stage,Podoviridae,0.018919
Viruses,dsDNA viruses, no RNA stage,Siphoviridae,0.033507
Viruses,dsDNA viruses, no RNA stage,Siphoviridae,0.047595
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.056538
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.053325
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.05093
Viruses,dsDNA viruses, no RNA stage,Siphoviridae,0.04109
Viruses,dsDNA viruses, no RNA stage,Siphoviridae,0.037664
Viruses,dsDNA viruses, no RNA stage,Siphoviridae,0.038329
Viruses,dsDNA viruses, no RNA stage,Siphoviridae,0.039188
Viruses,dsDNA viruses, no RNA stage,Siphoviridae,0.038309
Viruses,dsDNA viruses, no RNA stage,Siphoviridae,0.038753
Viruses,dsDNA viruses, no RNA stage,Podoviridae,0.018397
Viruses,dsDNA viruses, no RNA stage,Podoviridae,0.017972
Viruses,dsDNA viruses, no RNA stage,Siphoviridae,0.059199
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.048396
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.031674
Viruses,dsDNA viruses, no RNA stage,unclassified,0.038092
Viruses,dsDNA viruses, no RNA stage,Podoviridae,0.018078
Viruses,dsDNA viruses, no RNA stage,Siphoviridae,0.039108
Bacteria,Firmicutes,Clostridia,5.10781
Bacteria,Firmicutes,Clostridia,6.66645
Bacteria,Firmicutes,Clostridia,3.98337
Bacteria,Firmicutes,Clostridia,7.35383
Bacteria,Firmicutes,Clostridia,3.92589
Bacteria,Firmicutes,Clostridia,4.33865
Bacteria,Firmicutes,Clostridia,3.71742
Bacteria,Firmicutes,Clostridia,2.91434
Bacteria,Firmicutes,Clostridia,5.55369
Bacteria,Firmicutes,Clostridia,4.30839
Bacteria,Firmicutes,Clostridia,3.08505
Viruses,ssRNA viruses,Alphaflexiviridae,0.007015
Viruses,ssRNA viruses,Potyviridae,0.009584
Eukaryota,Animals,Fishes,807.712
Viruses,ssRNA viruses,Rhabdoviridae,0.013203
Bacteria,Proteobacteria,Gammaproteobacteria,4.22999
Bacteria,Proteobacteria,Gammaproteobacteria,3.96501
Bacteria,Proteobacteria,Gammaproteobacteria,4.04995
Eukaryota,Animals,Insects,98.7591
Eukaryota,Fungi,Ascomycetes,29.016
Eukaryota,Fungi,Ascomycetes,28.6933
Viruses,ssDNA viruses,Geminiviridae,0.00544
Eukaryota,Plants,Green Algae,48.5465
Eukaryota,Plants,Green Algae,48.8266
Viruses,ssRNA viruses,Tombusviridae,0.004198
Viruses,ssRNA viruses,unclassified,0.004082
Viruses,ssRNA viruses,Potyviridae,0.009663
Viroids,Pospiviroidae,Cocadviroid,0.000246
Viruses,Satellites,unclassified,0.001291
Viroids,Pospiviroidae,Cocadviroid,0.000254
Bacteria,Firmicutes,Bacilli,4.34472
Bacteria,Firmicutes,Bacilli,4.47619
Bacteria,Firmicutes,Bacilli,4.77283
Bacteria,Firmicutes,Bacilli,5.05103
Eukaryota,Fungi,Other Fungi,29.3436
Bacteria,Cyanobacteria,Oscillatoriophycideae,8.67904
Viroids,Pospiviroidae,Coleviroid,0.000295
Viroids,Pospiviroidae,Coleviroid,0.000248
Viroids,Pospiviroidae,Coleviroid,0.000301
Viroids,Pospiviroidae,Coleviroid,0.000364
Viroids,Pospiviroidae,Coleviroid,0.000274
Viroids,Pospiviroidae,Coleviroid,0.000342
Viruses,ssRNA viruses,Betaflexiviridae,0.008727
Eukaryota,Animals,Birds,1171.86
Eukaryota,Animals,Birds,1075.93
Eukaryota,Fungi,Ascomycetes,49.0028
Eukaryota,Fungi,Ascomycetes,55.6071
Eukaryota,Fungi,Ascomycetes,51.6443
Eukaryota,Fungi,Ascomycetes,49.0849
Eukaryota,Fungi,Ascomycetes,90.0861
Eukaryota,Fungi,Ascomycetes,46.7558
Bacteria,Proteobacteria,Betaproteobacteria,5.64497
Bacteria,Proteobacteria,Betaproteobacteria,5.1869
Bacteria,Actinobacteria,Coriobacteriia,2.33079
Bacteria,Actinobacteria,Coriobacteriia,2.43987
Bacteria,Actinobacteria,Coriobacteriia,1.8095
Bacteria,Actinobacteria,Coriobacteriia,2.47543
Bacteria,Actinobacteria,Coriobacteriia,2.49208
Eukaryota,Animals,Mammals,2970.12
Viruses,dsDNA viruses, no RNA stage,Papillomaviridae,0.007686
Viruses,ssRNA viruses,Potyviridae,0.009621
Viruses,dsRNA viruses,Reoviridae,0.029174
Eukaryota,Animals,Birds,1107.99
Viruses,ssDNA viruses,Circoviridae,0.002037
Viroids,Pospiviroidae,Pospiviroid,0.00037
Bacteria,Proteobacteria,Gammaproteobacteria,4.13081
Viruses,dsDNA viruses, no RNA stage,Siphoviridae,0.104936
Bacteria,Proteobacteria,Gammaproteobacteria,5.48438
Bacteria,Proteobacteria,Gammaproteobacteria,5.72351
Bacteria,Proteobacteria,Betaproteobacteria,2.57401
Bacteria,Proteobacteria,Betaproteobacteria,2.62324
Bacteria,Proteobacteria,Betaproteobacteria,2.96792
Bacteria,Proteobacteria,Betaproteobacteria,2.49225
Bacteria,Proteobacteria,Betaproteobacteria,0.113075
Bacteria,Proteobacteria,Betaproteobacteria,0.295955
Bacteria,Proteobacteria,Betaproteobacteria,4.90412
Bacteria,Proteobacteria,Betaproteobacteria,5.57678
Bacteria,Proteobacteria,Betaproteobacteria,3.95606
Bacteria,Proteobacteria,Betaproteobacteria,3.68102
Bacteria,Proteobacteria,Betaproteobacteria,4.63407
Bacteria,Proteobacteria,Betaproteobacteria,3.50599
Bacteria,Proteobacteria,Betaproteobacteria,3.73308
Bacteria,Proteobacteria,Betaproteobacteria,6.0627
Bacteria,Proteobacteria,Betaproteobacteria,5.24486
Viruses,Retro-transcribing viruses,Caulimoviridae,0.007489
Bacteria,Proteobacteria,Alphaproteobacteria,2.33265
Bacteria,Proteobacteria,Alphaproteobacteria,2.45478
Viruses,ssRNA viruses,Coronaviridae,0.026223
Bacteria,Proteobacteria,Betaproteobacteria,2.11863
Bacteria,Proteobacteria,Betaproteobacteria,2.14649
Viruses,dsDNA viruses, no RNA stage,Baculoviridae,0.125767
Eukaryota,Animals,Insects,451.942
Eukaryota,Animals,Mammals,1769.66
Bacteria,Actinobacteria,Thermoleophilia,1.78374
Bacteria,Actinobacteria,Thermoleophilia,6.35937
Bacteria,Proteobacteria,Alphaproteobacteria,4.14743
Bacteria,Proteobacteria,Gammaproteobacteria,4.35112
Eukaryota,Fungi,Other Fungi,93.8954
Eukaryota,Fungi,Basidiomycetes,42.9685
Eukaryota,Fungi,Ascomycetes,28.6453
Viruses,dsRNA viruses,Totiviridae,0.004975
Eukaryota,Animals,Other Animals,2160.49
Eukaryota,Plants,Land Plants,326.165
Eukaryota,Animals,Insects,555.045
Eukaryota,Fungi,Basidiomycetes,36.1926
Bacteria,Firmicutes,Erysipelotrichia,3.97177
Bacteria,Firmicutes,Erysipelotrichia,3.58541
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.41391
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,4.13874
Bacteria,Firmicutes,Clostridia,3.12301
Bacteria,Firmicutes,Clostridia,3.5227
Bacteria,Firmicutes,Clostridia,3.24221
Bacteria,Firmicutes,Clostridia,2.44831
Bacteria,Firmicutes,Clostridia,3.10299
Bacteria,Firmicutes,Clostridia,2.79971
Bacteria,Firmicutes,Clostridia,1.42438
Bacteria,Firmicutes,Clostridia,1.42491
Bacteria,Chlamydiae/Verrucomicrobia group,Verrucomicrobia,2.44311
Bacteria,Chlamydiae/Verrucomicrobia group,Verrucomicrobia,3.75077
Bacteria,Proteobacteria,delta/epsilon subdivisions,1.56435
Bacteria,Proteobacteria,delta/epsilon subdivisions,10.0806
Viruses,ssDNA viruses,Geminiviridae,0.005326
Viruses,ssDNA viruses,Geminiviridae,0.005195
Viruses,Satellites,unclassified,0.00139
Viruses,ssDNA viruses,Geminiviridae,0.002743
Viruses,ssDNA viruses,Geminiviridae,0.005415
Eukaryota,Fungi,Ascomycetes,32.2686
Bacteria,Actinobacteria,Coriobacteriia,1.96709
Bacteria,Actinobacteria,Coriobacteriia,1.80138
Bacteria,Actinobacteria,Coriobacteriia,2.33155
Bacteria,Actinobacteria,Coriobacteriia,2.11568
Eukaryota,Animals,Birds,1091.31
Eukaryota,Animals,Birds,1049.96
Bacteria,Actinobacteria,Actinobacteria,1.86055
Bacteria,Actinobacteria,Actinobacteria,1.91515
Bacteria,Actinobacteria,Actinobacteria,2.63898
Bacteria,Actinobacteria,Actinobacteria,2.46564
Bacteria,Actinobacteria,Actinobacteria,2.76417
Bacteria,Actinobacteria,Actinobacteria,2.51391
Bacteria,Actinobacteria,Actinobacteria,2.0319
Bacteria,Actinobacteria,Actinobacteria,2.35945
Bacteria,Actinobacteria,Actinobacteria,8.68621
Bacteria,Actinobacteria,Actinobacteria,2.56886
Bacteria,Actinobacteria,Actinobacteria,2.52296
Bacteria,Actinobacteria,Actinobacteria,2.92868
Bacteria,Actinobacteria,Actinobacteria,2.45181
Bacteria,Actinobacteria,Actinobacteria,1.96087
Bacteria,Actinobacteria,Actinobacteria,3.13221
Bacteria,Actinobacteria,Actinobacteria,1.84368
Bacteria,Actinobacteria,Actinobacteria,2.54557
Bacteria,Actinobacteria,Actinobacteria,3.3467
Bacteria,Actinobacteria,Actinobacteria,3.03389
Bacteria,Actinobacteria,Actinobacteria,2.53535
Bacteria,Actinobacteria,Actinobacteria,2.699
Bacteria,Actinobacteria,Actinobacteria,2.80958
Bacteria,Actinobacteria,Actinobacteria,3.2195
Bacteria,Actinobacteria,Actinobacteria,2.69207
Bacteria,Actinobacteria,Actinobacteria,2.71962
Bacteria,Actinobacteria,Actinobacteria,2.9102
Bacteria,Actinobacteria,Actinobacteria,3.04232
Bacteria,Actinobacteria,Actinobacteria,2.34995
Bacteria,Actinobacteria,Actinobacteria,2.87526
Bacteria,Actinobacteria,Actinobacteria,3.3633
Bacteria,Actinobacteria,Actinobacteria,3.56822
Bacteria,Actinobacteria,Actinobacteria,3.22201
Bacteria,Actinobacteria,Actinobacteria,2.68131
Bacteria,Actinobacteria,Actinobacteria,2.56532
Bacteria,Actinobacteria,Actinobacteria,2.55312
Bacteria,Actinobacteria,Actinobacteria,2.57461
Bacteria,Actinobacteria,Actinobacteria,2.35406
Bacteria,Actinobacteria,Actinobacteria,2.76974
Bacteria,Actinobacteria,Actinobacteria,2.38578
Bacteria,Actinobacteria,Actinobacteria,2.94417
Bacteria,Actinobacteria,Actinobacteria,2.72922
Bacteria,Actinobacteria,Actinobacteria,2.83355
Bacteria,Actinobacteria,Actinobacteria,2.18302
Bacteria,Actinobacteria,Actinobacteria,2.37
Bacteria,Actinobacteria,Actinobacteria,2.99226
Bacteria,Actinobacteria,Actinobacteria,2.78006
Bacteria,Actinobacteria,Actinobacteria,3.47423
Bacteria,Actinobacteria,Actinobacteria,3.10659
Viruses,dsDNA viruses, no RNA stage,Siphoviridae,0.042969
Viruses,dsDNA viruses, no RNA stage,Siphoviridae,0.070579
Bacteria,Actinobacteria,Actinobacteria,2.54801
Bacteria,Actinobacteria,Actinobacteria,2.45864
Bacteria,Actinobacteria,Actinobacteria,2.32806
Bacteria,Actinobacteria,Actinobacteria,2.60143
Bacteria,Actinobacteria,Actinobacteria,2.38969
Bacteria,Actinobacteria,Actinobacteria,2.72297
Bacteria,Actinobacteria,Actinobacteria,2.32276
Bacteria,Actinobacteria,Actinobacteria,2.60131
Bacteria,Actinobacteria,Actinobacteria,2.56372
Bacteria,Actinobacteria,Actinobacteria,2.83052
Bacteria,Actinobacteria,Actinobacteria,2.91768
Bacteria,Actinobacteria,Actinobacteria,15.7843
Bacteria,Actinobacteria,Actinobacteria,2.75123
Bacteria,Actinobacteria,Actinobacteria,2.72123
Bacteria,Actinobacteria,Actinobacteria,2.59042
Bacteria,Actinobacteria,Actinobacteria,2.37226
Bacteria,Actinobacteria,Actinobacteria,2.22778
Bacteria,Actinobacteria,Actinobacteria,2.61629
Bacteria,Actinobacteria,Actinobacteria,2.30045
Bacteria,Actinobacteria,Actinobacteria,2.62504
Bacteria,Actinobacteria,Actinobacteria,2.32828
